timestamp,P2
00:11.5,3.8
05:11.7,3.37
10:11.4,3.23
15:11.4,3.2
20:11.1,3.43
25:11.9,4.1
30:12.1,3.7
35:12.7,3.8
40:13.1,4.1
45:13.3,3.87
50:13.0,4.33
55:14.1,4.4
00:15.1,5.17
05:16.2,6.2
10:16.7,6.77
15:17.4,7.17
20:19.0,6.6
25:19.7,7
30:20.5,7.1
35:35.7,8
40:56.6,8.7
46:28.6,8.17
51:35.6,5.1
56:36.6,4.97
01:37.0,5.1
06:39.0,5.23
11:40.0,5.8
16:40.8,7.7
21:41.9,5.7
26:42.1,5.73
31:42.2,5.2
36:41.4,5.9
41:41.4,5.8
46:40.5,6.4
51:40.6,16.07
56:40.2,11.7
01:40.2,10.43
06:41.2,10.7
11:42.0,14.6
16:42.8,14.63
21:43.0,16.97
26:43.6,16.8
31:44.9,11.1
36:45.8,8.9
41:45.5,11.93
46:45.2,9.3
51:44.5,9.53
56:44.0,8.13
01:44.2,8.57
06:44.1,11
11:43.6,11.43
16:44.2,12.2
21:44.9,9.47
26:45.5,9.67
31:44.7,7.3
36:43.9,8.5
41:43.9,8.5
46:44.1,7.53
51:43.8,7.2
56:43.6,7.37
01:44.4,5.37
06:45.3,4.8
11:45.8,5.37
16:46.1,6.37
21:46.2,6.37
26:46.2,5.7
31:46.0,5.13
36:46.7,6.03
41:45.8,30.1
46:46.2,16.03
51:45.4,8.8
56:46.4,9.63
01:45.2,11.47
06:45.2,11.47
11:45.2,10.9
16:45.8,14.8
21:46.0,13.13
26:47.0,14
31:46.3,10.63
36:46.0,46.57
41:46.1,9.77
46:45.3,10.33
51:44.0,10.27
56:44.8,7.13
01:46.0,8.37
06:46.1,8.13
11:45.6,8
16:45.5,7.8
21:46.6,7.73
26:48.2,9.8
31:48.8,7.73
36:48.8,8.77
41:48.1,8.63
46:48.1,11
51:47.9,14.23
56:47.1,16.73
01:47.9,9.57
06:48.8,10.4
11:48.9,10.03
16:49.5,10
21:49.8,8
26:49.9,8.33
31:50.4,8.25
36:49.7,8.23
41:50.1,9.25
46:50.3,9.27
51:50.6,9.25
56:50.6,10.73
01:51.8,12.77
06:52.1,10.88
11:53.8,12.07
16:54.4,12.57
21:54.9,14.75
26:54.4,12.9
